experiment_phase,run_id,source_commit,configured_concurrency,repetition,K,acknowledged_accepted_count,acknowledged_accepted_throughput_per_second,writer_call_p50_ms,writer_call_p95_ms,scheduling_wait_p50_ms,business_uow_p50_ms,append_admission_p50_ms,commit_finalization_p50_ms,validation_runtime_p50_us,observed_max_writer_call_overlap,problems_count,incomplete,cleanup_completed
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,1,0,512,512,417.953155935995,2.158771000,3.576941700,602.023854000,1.330625000,0.432875000,0.240625000,5.167000000,1,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,1,1,512,512,337.603740412066,2.739646000,4.268149850,719.151687000,1.644416500,0.548104000,0.305583500,7.375000000,1,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,1,2,512,512,380.332842522714,2.427291500,3.852308150,606.489500000,1.468437500,0.488687500,0.269208000,5.792000000,1,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,1,3,512,512,351.663990551778,2.486083000,4.250593600,736.271583000,1.517125500,0.503479000,0.268999500,6.208500000,1,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,1,4,512,512,360.353406665716,2.440520500,4.157020650,696.526437500,1.503375000,0.498729000,0.264521000,5.708000000,1,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,0,512,512,1069.089937190966,7.024021000,9.950648100,231.179999500,4.299791500,1.314271000,0.797521000,7.042000000,8,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,1,512,512,1147.706180977018,6.659625000,9.016355950,217.927812500,4.069125000,1.292771000,0.750187500,6.958000000,8,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,2,512,512,1147.094522826859,6.701187500,9.304652050,223.798208500,4.136000000,1.245146000,0.781208000,6.875000000,8,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,3,512,512,1227.572917129979,6.315521000,8.458550150,211.001458000,3.881291500,1.156666500,0.737416500,6.750000000,8,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,4,512,512,1214.373725885965,6.413166500,8.476644050,206.568229000,3.905062000,1.179979000,0.744583500,6.625000000,8,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,2,0,512,512,549.604291672705,3.545020500,5.261552300,458.631958500,1.969125000,0.594458500,0.347895500,5.791500000,2,0,false,true
