raw_filename,run_id,source_commit,schema_version,method_identity,cohort,execution_index,configured_concurrency,repetition,pair_index,position_in_pair,cell_id,protection_mode,protection_bound,planned,offered,dispatched,capacity_attempted,capacity_admitted,capacity_refused,protected_writer_entered,writer_terminal,terminal,acknowledged_accepted,acceptance_proportion,refusal_proportion,acknowledged_accepted_throughput_per_second,observed_elapsed_ns,public_call_p50_ms,public_call_p95_ms,accepted_public_call_p50_ms,protected_body_p50_ms,protected_body_p95_ms,public_call_sample_count,admitted_latency_sample_count,public_call_max_overlap,protected_body_max_overlap,native_writer_failures,problems_count,harness_failures_count,residual_count,incomplete,cleanup_completed,last_capacity_refusal_ns,first_protected_body_completion_ns,last_refusal_before_first_completion,refusal_to_first_completion_gap_ms,business_uow_p50_ms,append_admission_p50_ms,commit_finalization_p50_ms,validation_runtime_p50_us,preliminary_idempotency_p50_ms,accepted_history_load_p50_ms,preliminary_read_cleanup_p50_ms,authoritative_idempotency_p50_ms,idempotency_record_p50_ms,producer_write_invocation_p50_ms
010-recorded-n8-unprotected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,10,8,0,5,0,pr4-level-0-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1169.5148369346261,437788375,6.632083,8.926487799999999,6.632083,,,512,512,8,,0,0,0,0,false,true,,,,,3.960813,1.2065625,0.733188,6.396,1.1821875,0.5423955,0.484188,1.1064375,0.548521,6.6071455
011-recorded-n8-protected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,11,8,0,5,1,pr4-level-0-recorded-protected,protected,8,512,512,512,512,512,0,512,512,512,512,1,0,1222.1245124657094,418942583,6.3395415,8.37227515,6.3395415,6.335167,8.3673481,512,512,8,8,0,0,0,0,false,true,,4615212994638875,,,3.771104,1.139396,0.7137295,6.667,1.1219795,0.5278125,0.465917,1.042271,0.523792,6.311729
012-recorded-n10-protected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,12,10,0,6,0,pr4-level-1-recorded-protected,protected,8,512,512,512,512,8,504,8,8,512,8,0.015625,0.984375,350.6862074281739,22812417,0.001667,0.002102449999999999,22.2664795,22.2614165,22.51808345,512,8,9,8,0,0,0,0,false,true,4615214844706833,4615214855295791,true,10.588958,4.7331455,1.3545215,1.237333,8.3955,16.113271,0.6183335,0.656333,1.6274795,0.649896,22.2335835
013-recorded-n10-unprotected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,13,10,0,6,1,pr4-level-1-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1154.9717784788943,443300875,8.4505835,10.819675,8.4505835,,,512,512,10,,0,0,0,0,false,true,,,,,5.238792,1.660125,0.9315415,6.6875,1.558875,0.7262915,0.6761255,1.5888335,0.7323955,8.424188
014-recorded-n12-unprotected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,14,12,0,7,0,pr4-level-2-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1102.5571031928048,464375041,10.5896875,13.518580949999999,10.5896875,,,512,512,12,,0,0,0,0,false,true,,,,,6.4394165,2.072979,1.2184585,6.709,1.9556045,0.9721875,0.881396,1.9721245,1.0287495,10.5635625
015-recorded-n12-protected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,15,12,0,7,1,pr4-level-2-recorded-protected,protected,8,512,512,512,512,8,504,8,8,512,8,0.015625,0.984375,369.5406148231979,21648500,0.001667,0.004541,21.0168545,21.0098335,21.36280055,512,8,9,8,0,0,0,0,false,true,4615219800629708,4615219810759083,true,10.129375,4.2913335,1.2805005,0.8804585,7.8955,15.100562,0.7230625,0.805021,1.5115625,0.554479,20.9792915
016-recorded-n16-protected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,16,16,0,8,0,pr4-level-3-recorded-protected,protected,8,512,512,512,512,8,504,8,8,512,8,0.015625,0.984375,384.86517691771104,20786500,0.001708,0.003829349999999999,19.985188,19.956354,20.2732875,512,8,9,8,0,0,0,0,false,true,4615220952201291,4615220960481250,true,8.279959,4.466854,1.5678955,0.87825,8.333,13.599021,0.534312,1.1952085,1.148042,0.8839165,19.9269585
017-recorded-n16-unprotected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,17,16,0,8,1,pr4-level-3-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1100.7115203501126,465153667,14.407833,17.26266455,14.407833,,,512,512,16,,0,0,0,0,false,true,,,,,8.7085415,2.785042,1.6147915,6.7705,2.7451665,1.317104,1.2254795,2.682312,1.318937,14.381
018-recorded-n32-unprotected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,18,32,0,9,0,pr4-level-4-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1109.0981437113182,461636333,28.180854,35.8249917,28.180854,,,512,512,32,,0,0,0,0,false,true,,,,,16.7199375,5.4950415,2.894167,6.7915,5.258146,2.6938545,2.5330415,5.333292,2.6532915,28.153146
019-recorded-n32-protected-r00.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,19,32,0,9,1,pr4-level-4-recorded-protected,protected,8,512,512,512,512,8,504,8,8,512,8,0.015625,0.984375,368.161689987332,21729583,0.001792,0.0026954999999999974,20.905021,20.897854,21.33621875,512,8,9,8,0,0,0,0,false,true,4615226257593791,4615226265445916,true,7.852125,4.5945625,1.35075,1.3951245,10.5625,14.440229,0.767979,0.6649165,1.309583,0.588583,20.865083
020-recorded-n8-protected-r01.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,20,8,1,10,0,pr4-level-0-recorded-protected,protected,8,512,512,512,512,512,0,512,512,512,512,1,0,1177.4962518649947,434820917,6.6183955,8.5070622,6.6183955,6.6135,8.5010205,512,512,8,8,0,0,0,0,false,true,,4615227363956583,,,4.072896,1.2012285,0.740729,6.458,1.1513125,0.545583,0.504104,1.1700625,0.5652295,6.588854
021-recorded-n8-unprotected-r01.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,21,8,1,10,1,pr4-level-0-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1135.5768607468733,450872167,6.697479,9.28499375,6.697479,,,512,512,8,,0,0,0,0,false,true,,,,,4.0278545,1.3116245,0.7260625,6.708,1.188271,0.538583,0.4892085,1.1495625,0.5638335,6.6719375
022-recorded-n10-unprotected-r01.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,22,10,1,11,0,pr4-level-1-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1134.0210181493198,451490750,8.6163745,10.953516449999999,8.6163745,,,512,512,10,,0,0,0,0,false,true,,,,,5.204271,1.6847505,0.98825,6.708,1.679875,0.7842915,0.6778965,1.531938,0.7804795,8.5896665
023-recorded-n10-protected-r01.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,23,10,1,11,1,pr4-level-1-recorded-protected,protected,8,512,512,512,512,8,504,8,8,512,8,0.015625,0.984375,343.1733427751759,23311834,0.001583,0.001833,21.3852705,21.3806245,22.51258925,512,8,9,8,0,0,0,0,false,true,4615233073051875,4615233083501125,true,10.44925,4.447063,1.631958,1.104896,9.3545,15.645792,0.557667,0.593229,1.265104,0.55225,21.354125
024-recorded-n12-protected-r01.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,24,12,1,12,0,pr4-level-2-recorded-protected,protected,8,512,512,512,512,8,504,8,8,512,8,0.015625,0.984375,392.59790029809466,20377083,0.001583,0.0019774499999999995,19.7140625,19.7074585,20.025589800000002,512,8,9,8,0,0,0,0,false,true,4615234189974250,4615234197993458,true,8.019208,5.748396,2.131604,1.8852085,10.0005,12.5606255,0.737229,0.4835625,0.9811665,0.619438,19.6729585
025-recorded-n12-unprotected-r01.json,pr4-20260910T114905838802Z-e08b79801f9f,e08b79801f9f2c28ad050902700287df5c4968bf,1,pr4-protected-vs-unprotected-v1,recorded,25,12,1,12,1,pr4-level-2-recorded-unprotected,unprotected,,512,512,512,,,,,512,512,512,1,,1125.9328614899098,454734041,10.427229,12.9588375,10.427229,,,512,512,12,,0,0,0,0,false,true,,,,,6.305229,2.037042,1.1560625,6.5625,2.011396,0.9582915,0.9060625,1.9538335,0.9636875,10.3991045
