raw_filename,run_id,source_commit,execution_index,repetition,policy,K,offered_concurrency,protection_bound,max_attempts_per_logical_request,logical_requests,total_attempts,total_retries,attempt_amplification_factor,acknowledged_accepted,retry_budget_exhausted,logical_completion_proportion,capacity_refused_attempts,admitted_attempts,accepted_first_attempt,accepted_after_refusal_retry,attempts_per_logical_request_p50,attempts_per_logical_request_p95,accepted_logical_completion_latency_p50_ms,accepted_logical_completion_latency_p95_ms,logical_completion_latency_p50_ms,first_attempt_wait_p50_ms,cell_elapsed_ns,cell_elapsed_ms,logical_completion_throughput_per_second,protected_writer_max_overlap,public_call_max_overlap,accepted_body_p50_ms,preliminary_idempotency_p50_ms,preliminary_read_cleanup_p50_ms,accepted_history_load_p50_ms,authoritative_idempotency_p50_ms,business_uow_p50_ms,append_admission_p50_ms,commit_finalization_p50_ms,validation_runtime_p50_us,peak_capacity_attempts_sliding_5ms,peak_capacity_attempts_sliding_10ms,refusal_to_next_dispatch_p50_us,refusal_to_next_dispatch_p95_us,retry_dispatch_spacing_p50_us,retry_lateness_p50_us,last_refusal_before_first_body_exit,first_body_exit_minus_last_refusal_ms,delivered_measurements,problems_count,incomplete,cleanup_completed
005-recorded-no_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,5,0,no_retry,128,32,8,1,128,128,0,1,8,120,0.0625,120,8,8,0,1.0,1.00,24.8893125,25.20795405,10.993646,9.980854,25243625,25.243625,316.9116955270885223497021525,8,9,24.2698755,18.3776045,1.1859165,0.896354,0.9039585,3.8645415,1.049,0.994271,9.1665,63,101,,,,,true,9.182833,8,0,false,true
006-recorded-immediate_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,6,0,immediate_retry,128,32,8,8,128,968,840,7.5625,8,120,0.0625,960,8,8,0,8.0,8.00,88.384271,88.8001022,46.8359375,39.1165005,88835875,88.835875,90.05370859464152292077947113,8,9,87.9011045,80.3467085,0.601583,0.7346665,1.495312,5.7614375,1.858604,1.662375,8.7705,76,148,55.687,88.167,74.3335,55.687,true,8.865917,8,0,false,true
007-recorded-fixed_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,7,0,fixed_backoff,128,32,8,8,128,569,441,4.4453125,80,48,0.625,489,80,56,24,4.5,8.00,73.818104,122.2318354,73.818104,44.370542,124692208,124.692208,641.5797850014814077235684206,8,9,12.0659375,2.4243335,0.878584,0.973167,1.9614585,7.0042295,1.9429795,1.127458,7.375,45,75,5533.0,6490.125,5563.583,533.0,false,-97.190375,80,0,false,true
008-recorded-exponential_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,8,0,exponential_backoff,128,32,8,8,128,513,385,4.0078125,82,46,0.640625,431,82,66,16,1.0,8.00,72.4203755,115.4469896,69.3187295,47.6384795,116608500,116.6085,703.2077421457269410034431452,8,9,10.053562,2.2212705,0.6904375,0.828604,1.4086045,5.4616045,1.599042,1.156854,7.1045,57,100,8077.375,9618.392,8111.25,655.458,false,-84.325416,82,0,false,true
009-recorded-exponential_backoff_with_jitter.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,9,0,exponential_backoff_with_jitter,128,32,8,8,128,460,332,3.59375,96,32,0.75,364,96,80,16,1.0,8.00,84.429375,129.6552815,75.207792,59.8872085,135854834,135.854834,706.6366147854554811056631227,8,9,9.293688,1.7844375,0.8185625,0.788542,1.682812,5.253021,1.6102705,0.9404995,7.2915,41,74,9644.9165,12724.3372,9680.021,475.3165,false,-95.6945,96,0,false,true
010-recorded-immediate_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,10,1,immediate_retry,128,32,8,8,128,968,840,7.5625,8,120,0.0625,960,8,8,0,8.0,8.00,93.0641455,93.4130807,48.789104,40.2258745,93458041,93.458041,85.59991108737235354633637142,8,9,92.2749375,81.770729,0.8795205,1.457021,1.830229,7.8867295,3.135229,2.0964585,6.0625,76,148,57.4795,91.0268,76.417,57.4795,true,12.384958,8,0,false,true
011-recorded-fixed_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,11,1,fixed_backoff,128,32,8,8,128,561,433,4.3828125,80,48,0.625,481,80,56,24,4.0,8.00,75.2763965,117.31920275,75.2763965,43.7207295,123969292,123.969292,645.3211009707145863186828558,8,9,10.7732295,2.2050835,0.9074375,0.905854,1.908896,6.5317505,2.0512915,1.171687,7.0415,45,73,5530.875,6411.617,5554.541,530.875,false,-98.911708,80,0,false,true
012-recorded-exponential_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,12,1,exponential_backoff,128,32,8,8,128,532,404,4.15625,80,48,0.625,452,80,63,17,3.5,8.00,73.8404165,115.48722225,73.8404165,47.8982705,124117125,124.117125,644.5524741247430602344358202,8,9,10.998104,2.252125,0.5461665,0.7982085,2.006146,6.3716255,1.7219585,1.00075,6.771,57,93,8080.25,9870.12945,8118.708,685.938,false,-91.906042,80,0,false,true
013-recorded-exponential_backoff_with_jitter.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,13,1,exponential_backoff_with_jitter,128,32,8,8,128,451,323,3.5234375,99,29,0.7734375,352,99,80,19,1.0,8.00,74.040791,127.1773285,64.359333,48.9431245,128709208,128.709208,769.1757376053467751895419945,8,9,9.189458,1.799167,0.70375,0.885833,1.663334,5.303,1.59325,0.967792,6.917,45,72,8968.958,12313.7958,9000.666,466.433,false,-100.054875,99,0,false,true
014-recorded-no_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,14,1,no_retry,128,32,8,1,128,128,0,1,8,120,0.0625,120,8,8,0,1.0,1.00,18.741416,19.06633915,4.6688955,4.1714375,19101791,19.101791,418.8088959825809003982924952,8,9,18.1306455,9.7014995,0.7708125,1.0020835,2.0068335,6.2896255,1.985979,1.879375,10.9375,89,128,,,,,true,10.137416,8,0,false,true
